age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,ID
45,4,1,2,0,2,0,0,2,26,8,105,10,-1,0,-1,22944
34,9,-1,2,0,0,0,0,2,10,7,268,1,-1,0,-1,13870
40,7,-1,2,0,311,0,0,2,6,8,738,2,-1,0,-1,19301
58,6,1,3,0,5810,0,0,2,12,3,139,1,-1,0,-1,31334
59,4,1,2,0,169,1,0,-1,16,5,181,3,-1,0,-1,3849
36,5,1,2,0,24,1,1,-1,11,6,100,5,-1,0,-1,10192
34,8,1,2,1,-868,1,0,-1,30,6,198,2,-1,0,-1,12411
38,5,1,2,0,-140,0,0,-1,25,6,456,3,-1,0,-1,12310
52,7,1,2,0,98,1,0,2,28,1,103,1,245,2,0,27838
48,4,1,1,0,1203,0,0,2,6,8,61,5,-1,0,-1,19423
28,5,0,2,0,387,0,0,2,3,2,158,5,-1,0,-1,29456
43,10,1,3,0,1429,1,0,2,19,11,1015,1,198,2,-1,25662
37,10,1,3,0,2205,0,0,-1,21,5,85,4,-1,0,-1,5131
52,10,-1,3,0,0,0,0,2,21,11,328,1,-1,0,-1,26935
45,4,1,2,0,2071,0,1,1,22,7,1148,2,-1,0,-1,16183
32,7,0,3,0,1068,0,0,2,6,8,175,4,-1,0,-1,19381
22,5,1,2,0,83,1,0,-1,13,5,101,1,-1,0,-1,2346
50,7,1,2,0,1088,1,0,-1,20,6,179,21,-1,0,-1,11940
56,6,1,2,0,784,0,1,2,30,7,149,2,-1,0,-1,18023
39,4,1,2,0,300,1,0,2,14,5,506,1,-1,0,-1,37787
27,5,0,2,0,261,1,1,2,18,5,113,1,-1,0,-1,39078
29,9,0,2,0,187,0,0,2,28,1,299,1,-1,0,-1,27808
29,9,0,2,0,27,1,0,2,6,5,754,1,-1,0,-1,35027
41,10,-1,-1,0,465,1,0,2,22,7,1508,1,-1,0,-1,16068
41,7,1,2,0,799,0,0,2,31,7,125,6,-1,0,-1,18340
40,4,1,2,0,1074,1,0,2,9,4,90,2,-1,0,-1,31931
52,4,1,2,0,633,1,0,2,14,5,292,1,-1,0,-1,37879
43,10,1,3,0,439,0,0,-1,17,6,71,1,-1,0,-1,10826
35,5,1,2,0,302,1,0,2,6,5,137,1,364,1,0,34826
55,5,-1,2,1,-404,1,0,2,22,7,502,3,-1,0,-1,16081
34,7,0,2,0,105,1,0,2,17,11,303,1,196,2,0,24199
30,4,0,-1,0,0,1,0,-1,19,5,199,1,-1,0,-1,4206
53,7,-1,1,0,7290,1,0,-1,30,5,153,1,-1,0,-1,7672
45,10,1,3,0,6945,0,0,2,5,8,131,5,356,3,0,40653
45,10,1,3,0,-642,0,0,2,5,8,124,4,-1,0,-1,19094
76,10,1,-1,0,1780,1,0,1,23,4,413,3,-1,0,-1,33781
52,4,1,2,0,7180,1,0,2,13,5,276,1,364,1,1,37164
53,9,1,3,0,944,1,0,2,24,2,128,1,-1,0,-1,43126
49,0,0,3,0,631,0,0,2,9,2,140,6,12,1,-1,30964
47,4,1,1,0,0,0,0,2,22,8,98,3,-1,0,-1,22609
59,3,1,2,1,49,0,1,-1,1,7,602,4,-1,0,-1,12444
57,8,1,-1,0,657,0,0,-1,12,6,344,1,-1,0,-1,10340
38,9,0,2,0,221,1,0,-1,6,5,211,2,-1,0,-1,652
50,7,-1,2,0,148,1,0,2,17,4,413,2,-1,0,-1,32926
36,5,1,2,0,1024,1,0,-1,18,6,111,2,-1,0,-1,11287
51,4,1,1,0,3170,1,0,-1,29,5,51,1,-1,0,-1,7281
39,4,1,1,0,245,1,0,-1,7,5,148,3,-1,0,-1,770
31,10,1,3,0,156,0,0,2,20,8,77,2,-1,0,-1,21955
39,10,1,3,0,351,1,0,-1,20,5,999,3,-1,0,-1,4648
50,4,1,2,0,372,1,0,1,11,5,21,1,-1,0,-1,36200
30,6,0,2,0,192,0,0,2,22,7,423,1,-1,0,-1,16002
34,10,1,3,0,2599,0,0,2,16,11,95,1,200,2,1,42290
45,4,1,2,0,103,0,0,-1,18,6,48,1,-1,0,-1,11104
39,10,-1,3,0,3575,0,1,2,18,8,74,3,-1,0,-1,21367
38,4,0,-1,0,10,1,0,-1,3,6,266,10,-1,0,-1,8651
36,10,1,3,0,2326,1,0,2,20,11,7,5,-1,0,-1,26336
49,1,1,1,0,640,0,0,1,13,8,214,4,-1,0,-1,20748
48,10,0,3,0,4558,0,0,2,14,8,145,2,-1,0,-1,21107
51,7,1,2,1,61,0,1,1,30,7,27,20,-1,0,-1,18054
34,10,1,2,0,15,0,0,2,25,8,184,7,-1,0,-1,22815
46,4,1,2,0,125,1,1,-1,8,5,119,2,-1,0,-1,1440
27,7,1,2,0,-147,1,1,-1,21,5,239,4,-1,0,-1,5169
51,10,-1,3,0,71,1,0,2,14,8,178,2,-1,0,-1,21172
52,9,1,2,0,686,0,0,2,30,7,544,2,-1,0,-1,17924
46,7,1,3,0,217,1,0,2,14,5,141,1,346,2,-1,37636
24,2,0,2,0,387,0,0,1,4,5,340,8,-1,0,-1,34362
34,7,0,2,0,4943,1,1,2,19,11,117,2,-1,0,-1,25885
59,3,1,2,0,997,0,1,2,11,8,250,4,-1,0,-1,20203
36,7,0,3,0,705,1,0,-1,16,5,111,1,-1,0,-1,3784
52,3,1,2,0,603,0,1,-1,9,6,79,1,-1,0,-1,9893
41,4,1,2,0,680,1,0,-1,15,5,173,2,-1,0,-1,3412
56,7,1,2,0,6619,1,0,1,4,11,465,1,-1,0,-1,24125
40,10,1,3,0,432,1,1,2,2,2,101,1,-1,0,-1,28951
35,7,1,2,0,353,0,0,2,28,8,17,9,-1,0,-1,23731
32,0,0,2,0,331,1,0,-1,9,5,211,2,-1,0,-1,1774
42,0,1,1,0,2636,0,0,2,17,11,178,2,151,1,0,24638
32,10,0,3,1,62,0,1,2,24,7,577,3,-1,0,-1,16825
27,2,0,2,0,6036,0,0,2,31,3,175,1,181,1,0,43388
29,8,1,2,0,0,1,0,-1,19,6,211,1,-1,0,-1,11615
56,10,1,3,0,3039,0,0,-1,6,6,420,2,-1,0,-1,9386
33,4,1,2,0,1219,1,0,2,18,5,51,3,367,4,-1,38876
36,7,1,2,0,930,0,0,2,14,8,175,2,-1,0,-1,20959
36,4,1,1,0,409,1,0,-1,11,6,81,3,-1,0,-1,10058
35,7,1,2,0,-259,1,0,2,29,1,381,1,247,2,0,28140
48,8,-1,3,0,275,0,1,-1,5,6,34,1,-1,0,-1,9191
